Symbol	UlPxChange	YieldRate
sh600415	-0.776319544	-0.486689376
sh600418	-0.4375	-0.145813846
sh600432	-0.525586764	-0.26762256
sh600456	-0.344964029	0.37778922
sh600489	-0.566625464	-0.181175667
sh600497	-0.504357711	-0.236481294
sh600498	-0.328395062	0.358538301
sh600500	-0.468723937	0.034337939
sh600508	-0.354561102	-0.055267769
sh600516	-0.390972222	0.24083856
sh600518	-0.360795455	0.073363881
sh600519	0.035407725	0.088276893
sh600528	-0.462212486	-0.263728966
sh600535	0.03654321	0.08943848
sh600546	-0.320839161	-0.186208522
sh600547	-0.46526078	0.117812823
sh600549	-0.384232365	0.102499799
sh600550	-0.514136581	-0.152046217
sh600583	-0.322660099	-0.18744234
sh600585	-0.487061906	0.253205086
sh600588	-0.217202433	-0.107841305
sh600595	-0.583153348	-0.102264493
sh600598	-0.34815373	-0.241410976
sh600600	-0.026453488	0.067681333
sh600642	-0.404669261	-0.412145716
sh600649	-0.242767296	-0.238771752
sh600655	-0.377513031	-0.166446834
sh600660	-0.225556631	-0.057309901
sh600664	-0.684595525	0.037779629
sh600674	-0.235494881	-0.189376649
sh600690	-0.684285208	-0.487081468
sh600694	-0.299470899	-0.40347724
sh600703	-0.772442589	-0.114700527
sh600718	-0.493159204	-0.047501988
sh600739	-0.594389439	-0.477680937
sh600741	-0.093046033	0.270881191
sh600770	-0.270881403	0.492110798
sh600779	-0.056476916	0.175997724
sh600783	-0.505326807	-0.217735274
sh600795	-0.078947368	-0.047623262
sh600804	-0.32716763	0.373689195
sh600809	-0.078771112	0.209743366
sh600811	-0.301020408	-0.200663504
sh600812	-0.588571429	-0.111220289
sh600827	-0.373770492	-0.333422684
sh600832	-0.377934272	-0.129022696
sh600837	-0.23553719	-0.293476564
sh600839	-0.420485175	-0.258005359
sh600859	-0.358565737	-0.259069513
sh600863	-0.129066107	-0.063837094
sh600873	-0.720969371	-0.567162459
sh600875	-0.348181562	-0.093829813
sh600881	-0.291479821	-0.110789333
sh600887	-0.466666667	-0.540088991
sh600893	-0.56595337	-0.218577392
sh600895	-0.22814983	-0.019394011
sh600900	-0.158520476	-0.121221803
sh600970	-0.613300493	0.123604634
sh600971	-0.754317549	-0.132176071
sh600997	-0.466985646	-0.292188699
sh600999	-0.459989401	-0.431664004
sh601001	-0.435933148	-0.240419796
sh601006	-0.047314578	-0.162351067
sh601009	-0.06639839	-0.214023331
sh601018	-0.231511254	-0.383604134
sh601088	0.002380952	-0.081574497
sh601098	-0.24457429	-0.190078444
sh601099	-0.38292011	-0.398998338
sh601101	-0.6429895	-0.598786117
sh601106	-0.472636816	-0.149152542
sh601111	-0.538405797	-0.02435564
sh601117	-0.003502627	0.178767775
sh601118	-0.314516129	-0.003014309
sh601158	-0.271515152	0.055235771
sh601166	-0.480912863	-0.510828613
sh601168	-0.509926855	-0.079759543
sh601169	-0.187937063	-0.174407113
sh601179	-0.529187817	-0.070610135
sh601186	-0.441176471	-0.108508842
sh601216	-0.357948345	-0.078139389
sh601233	-0.588421053	-0.135169312
sh601258	-0.839602926	-0.214830024
sh601268	-0.44488189	-0.086807888
sh601288	-0.007575758	-0.266766414
sh601299	-0.410292072	-0.27972444
sh601318	-0.390981432	-0.182515071
sh601328	-0.186932849	-0.1577916
sh601333	0.020289855	-0.203678979
sh601336	0.091193738	-0.010279109
sh601369	-0.52112087	-0.2852785
sh601377	-0.424598269	-0.145098587
sh601390	-0.418013857	-0.203316393
sh601398	0.004750594	-0.151840783
sh601555	-0.163057325	-0.083706188
sh601558	-0.821059876	-0.65313809
sh601566	0.011820331	-0.051734821
sh601600	-0.372798434	-0.106199329
sh601601	-0.159527972	-0.066945541
sh601607	-0.496818182	-0.042098892
sh601618	-0.324808184	-0.252458231
sh601628	-0.174543753	-0.098036204
sh601633	-0.025203252	-0.109916315
sh601666	-0.521719457	-0.091636134
sh601668	-0.154069767	-0.239728246
sh601669	-0.147916667	-0.113333543
sh601688	-0.427530954	-0.309790542
sh601699	-0.666614173	-0.675448703
sh601717	-0.413500118	0.093228422
sh601718	-0.187203791	-0.094394338
sh601766	-0.436931079	-0.03028042
sh601788	-0.317725753	-0.347730448
sh601808	-0.433098592	-0.343722056
sh601818	-0.273417722	-0.365316123
sh601857	-0.133451957	-0.196679442
sh601866	-0.457399103	-0.22462898
sh601888	-0.146666667	0.120896074
sh601898	-0.188118812	-0.225146552
sh601899	-0.534629405	-0.315885626
sh601901	-0.278546713	-0.144459896
sh601918	-0.225694444	-0.246442739
sh601919	-0.50212766	-0.189227956
sh601928	-0.294514768	-0.095330193
sh601933	-0.039808917	-0.24190346
sh601939	-0.012987013	-0.118534932
sh601958	-0.537180008	-0.074693797
sh601988	-0.092879257	-0.231339798
sh601989	-0.57381151	-0.027899144
sh601991	-0.155737705	-0.035191211
sh601992	-0.438666667	0.094874599
sh601998	-0.230916031	-0.219038666
