Symbol	UlPxChange	YieldRate
sz000001	-0.0234622701332	-0.211957607382
sz000002	-0.0830383738176	-0.320938210143
sz000009	-0.341336940394	0.234917071223
sz000012	-0.529331841432	-0.106020061047
sz000021	-0.556094646572	-0.13422908146
sz000024	0.133385093168	-0.22823943407
sz000039	-0.436156062018	-0.126167513076
sz000046	-0.0208088086237	0.0340328326828
sz000059	-0.399215686275	0.0817074584898
sz000060	-0.535525734833	-0.026158246067
sz000061	-0.370356321329	-0.158149528788
sz000063	-0.248698090742	0.178649496025
sz000069	0.056217585693	-0.145893111483
sz000100	0.0639534883721	-0.111418555703
sz000157	-0.281323891872	0.0470495716966
sz000338	-0.39292571712	0.0456453260545
sz000401	-0.308872305141	-0.00310743202712
sz000402	-0.0567359019079	-0.152550157686
sz000422	-0.0643239913785	0.431256240816
sz000423	-0.159060154025	0.0989784420028
sz000425	-0.540409318079	-0.0267581595336
sz000527	-0.290401870829	-0.193897909066
sz000528	-0.521136358339	-0.247942969862
sz000538	-0.118235088987	-0.151857142302
sz000559	-0.468641397777	0.237620068197
sz000562	-0.352784258786	-0.356017270373
sz000568	-0.0715044192755	-0.0500882002412
sz000581	-0.0385018386744	0.299088421483
sz000623	-0.28626135172	-0.110307755635
sz000625	-0.27760682635	-0.0333255984077
sz000629	-0.461912262883	-0.0262017991348
sz000630	-0.528635950778	0.00476930084893
sz000651	-0.0394074062452	-0.158547039798
sz000680	-0.496232798885	0.0254310292749
sz000686	-0.432971890929	-0.388795952768
sz000703	-0.341703056769	0.29463278705
sz000709	-0.232620320856	0.00911494047538
sz000718	-0.316109561769	0.0348446968618
sz000725	-0.352681388013	-0.237307571438
sz000728	-0.284213423558	-0.355752370473
sz000729	-0.28107274099	-0.0926552896907
sz000758	-0.370239065126	0.325081438681
sz000768	-0.402629416598	-0.162553183606
sz000776	-0.5980405604	-0.515217528145
sz000778	-0.284268639292	0.241567465613
sz000780	-0.339996253278	-0.27910765495
sz000783	-0.350764183535	-0.227695143858
sz000792	-0.522835820896	0.220187881417
sz000800	-0.433528868435	0.249600708585
sz000807	-0.46916518741	0.0862231694094
sz000825	-0.286981177831	-0.19776206567
sz000839	-0.434700248431	0.173069202311
sz000858	-0.0503649354521	0.0980921285073
sz000869	0.152392984596	0.0202678863575
sz000876	-0.212264150943	0.102725744117
sz000878	-0.444943044529	-0.261261263634
sz000895	-0.191340377664	0.00271386801997
sz000898	-0.395881654572	-0.0937306164744
sz000933	-0.421358888026	-0.255505909344
sz000937	-0.207857396328	-0.108833585931
sz000960	-0.40935803417	-0.0289009297634
sz000961	-0.247875206649	-0.193626261043
sz000968	-0.473781388479	-0.252326445691
sz000969	-0.279005308832	0.0478346180132
