2011-01-05 11:10:00	S	1
2011-01-07 10:40:00	B	1
2011-01-10 10:50:00	S	1
2011-01-11 13:25:00	B	1
2011-01-12 13:45:00	S	1
2011-01-12 14:50:00	B	1
2011-01-13 03:00:00	S	1
2011-01-19 11:20:00	B	1
2011-01-20 10:15:00	S	1
2011-01-21 11:10:00	B	1
2011-01-24 09:55:00	S	1
2011-01-24 14:35:00	B	1
2011-01-25 09:35:00	S	1
2011-01-25 10:10:00	B	1
2011-01-25 14:25:00	S	1
2011-01-26 09:40:00	B	1
2011-01-27 09:45:00	S	1
2011-01-27 11:20:00	B	1
2011-01-28 10:35:00	S	1
2011-01-31 10:50:00	B	1
2011-02-09 13:40:00	S	1
2011-02-10 11:10:00	B	1
2011-02-11 10:20:00	S	1
2011-02-11 10:45:00	B	1
2011-02-11 13:10:00	S	1
2011-02-11 13:45:00	B	1
2011-02-15 14:35:00	S	1
2011-02-17 09:40:00	B	1
2011-02-18 09:50:00	S	1
2011-02-18 14:55:00	B	1
2011-02-21 10:10:00	S	1
2011-02-21 13:35:00	B	1
2011-02-22 10:10:00	S	1
2011-02-23 13:10:00	B	1
2011-02-24 09:45:00	S	1
2011-02-24 14:20:00	B	1
2011-02-28 10:05:00	S	1
2011-02-28 13:40:00	B	1
2011-03-04 09:45:00	S	1
2011-03-04 14:20:00	B	1
2011-03-08 11:00:00	S	1
2011-03-09 10:05:00	B	1
2011-03-09 14:50:00	S	1
2011-03-11 14:20:00	B	1
2011-03-11 14:40:00	S	1
2011-03-14 14:30:00	B	1
2011-03-15 10:00:00	S	1
2011-03-16 10:10:00	B	1
2011-03-16 11:30:00	S	1
2011-03-16 13:45:00	B	1
2011-03-17 09:55:00	S	1
2011-03-18 10:10:00	B	1
2011-03-18 11:10:00	S	1
2011-03-18 14:55:00	B	1
2011-03-21 11:00:00	S	1
2011-03-22 09:50:00	B	1
2011-03-22 10:20:00	S	1
2011-03-22 10:55:00	B	1
2011-03-24 10:10:00	S	1
2011-03-25 10:05:00	B	1
2011-03-28 13:45:00	S	1
2011-03-29 11:00:00	B	1
2011-03-30 10:50:00	S	1
2011-04-01 10:10:00	B	1
2011-04-07 10:35:00	S	1
2011-04-07 11:05:00	B	1
2011-04-08 10:05:00	S	1
2011-04-08 10:45:00	B	1
2011-04-08 10:55:00	S	1
2011-04-08 14:10:00	B	1
2011-04-11 14:40:00	S	1
2011-04-13 13:05:00	B	1
2011-04-15 09:40:00	S	1
2011-04-15 09:50:00	B	1
2011-04-19 10:35:00	S	1
2011-04-21 10:55:00	B	1
2011-04-21 14:15:00	S	1
2011-04-25 10:55:00	B	1
2011-04-27 14:25:00	S	1
2011-04-28 10:25:00	B	1
2011-04-29 09:35:00	S	1
2011-05-03 11:10:00	B	1
2011-05-03 13:50:00	S	1
2011-05-04 10:50:00	B	1
2011-05-04 13:05:00	S	1
2011-05-05 13:55:00	B	1
2011-05-06 09:35:00	S	1
2011-05-13 14:20:00	B	1
2011-05-16 11:20:00	S	1
2011-05-17 10:45:00	B	1
2011-05-19 13:05:00	S	1
2011-05-20 10:10:00	B	1
2011-05-23 09:50:00	S	1
2011-05-24 10:10:00	B	1
2011-05-26 09:45:00	S	1
2011-05-26 14:05:00	B	1
2011-05-26 14:55:00	S	1
2011-05-27 10:25:00	B	1
2011-05-27 10:45:00	S	1
